ISIN,NAME,Country,Region,2015-01-30 00:00:00,2015-02-27 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-29 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-30 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-29 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-29 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-29 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-30 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-28 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-29 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-29 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-30 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-29 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-28 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00,2019-01-31 00:00:00,2019-02-28 00:00:00,2019-03-29 00:00:00,2019-04-30 00:00:00,2019-05-31 00:00:00,2019-06-28 00:00:00,2019-07-31 00:00:00,2019-08-30 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2019-11-29 00:00:00,2019-12-31 00:00:00,2020-01-31 00:00:00,2020-02-28 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-29 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-30 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-29 00:00:00,2021-02-26 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-30 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-29 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-29 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-29 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-30 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-29 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-12-29 00:00:00,2024-01-31 00:00:00,2024-02-29 00:00:00,2024-03-29 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-28 00:00:00,2024-07-31 00:00:00,2024-08-30 00:00:00,2024-09-30 00:00:00,2024-10-31 00:00:00,2024-11-29 00:00:00,2024-12-31 00:00:00
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,IE,EUR,8038.45,9419.16,9290.21,9206.46,10824.86,10683.68,11216.23,10038.81,9664.81,10567.83,9616.55,10339.9,9224.87,10459.91,11262.35,11618.29,12574.92,12565.67,13700.04,13507.34,12912.66,12430.26,12830.14,13295.92,13148.44,12582.95,13200.06,14288.43,12311.43,13309.78,12974.88,11931.41,11851.36,13029.56,13973.71,15174.34,15178.0,15328.39,15129.69,15396.97,14520.96,14532.9,13889.52,13332.32,13231.81,11646.74,10245.88,9360.46,9859.96,11096.77,11420.74,12056.14,11315.51,11707.35,12256.23,13606.28,15038.37,15398.3,17622.46,17652.56,19211.73,16431.55,10238.74,13266.89,15577.09,17142.09,18804.49,20644.36,21515.44,22004.01,26347.76,26740.42,25600.39,25643.5,27537.87,30081.97,30215.47,30868.48,30538.34,35225.52,33005.7,35269.07,35909.7,36608.52,30216.39,29553.4,27840.73,26986.22,23724.58,20087.31,22658.17,21264.71,18420.81,20266.94,18299.67,16823.14,20907.53,19806.96,20258.55,21100.25,23457.87,25389.43,28191.11,29074.93,25465.16,24010.36,31419.19,37571.33,37589.09,38715.91,39411.93,34587.51,30647.44,31181.92,35324.94,37063.7,39593.67,31878.37,36552.14,31012.86
CH0012549785,SONOVA N,CH,EUR,2884.71,3054.0,3053.06,3036.36,3292.12,3010.8,3186.99,2898.02,2856.9,3048.68,2810.88,2830.96,2663.59,2684.25,2854.72,2977.45,2971.3,3000.22,3113.35,3138.41,3213.72,3040.36,2733.49,2750.94,2994.62,2984.18,3144.21,3348.16,3756.14,3735.79,3736.4,3875.81,3901.87,4151.71,3666.68,3588.85,3710.09,3608.1,3642.49,3811.24,4020.12,4176.89,4306.23,4434.4,4662.73,3814.92,3765.05,3799.33,4376.96,4369.6,4613.16,4703.16,5172.73,5371.8,5474.16,5481.96,5494.04,5408.43,5394.61,5401.33,5920.26,5606.22,4256.44,4264.5,5174.13,4713.79,5336.65,5535.82,6004.35,5603.66,5871.39,6144.33,5717.9,6072.38,6282.69,6993.34,8397.06,8976.44,9362.9,9188.06,9078.78,9871.04,8927.32,9363.03,8374.06,9277.8,10042.47,8725.17,8432.42,7689.55,8670.45,6419.06,5412.54,5727.62,6150.71,5739.96,6006.93,5973.41,7119.9,7666.99,6182.72,6572.31,6905.65,6531.36,5874.36,5818.17,7162.26,8047.68,7990.99,7633.42,7155.75,6873.98,7792.78,7742.15,7667.35,8737.4,9026.0,9135.69,8556.97,8194.06
CH0210483332,RICHEMONT N,CH,EUR,5339.87,5686.87,5174.01,5730.24,5524.46,5222.66,5569.13,4801.45,5076.84,5637.34,4908.61,4719.99,4237.04,4197.6,4348.92,4361.93,3859.26,3817.41,3997.18,3778.25,4120.53,4342.89,4401.36,4477.89,5245.48,4985.83,5339.0,5636.14,5634.76,5566.09,5744.71,6020.65,6300.7,6357.86,5941.52,6241.83,6618.56,6068.65,6169.1,6579.78,6329.96,5835.36,6053.54,6103.83,5777.53,5168.54,4582.4,4508.34,4865.08,5413.13,5138.35,5157.6,5171.75,5993.61,6085.33,5475.54,5319.75,5697.47,5521.26,5690.37,5306.31,4895.03,3973.06,4114.98,4214.05,4621.1,4499.37,4807.97,4939.42,4614.01,6131.9,6662.98,6852.34,7115.07,7091.01,7551.25,8967.17,8907.42,9413.34,8109.12,7841.37,9293.49,11091.13,11285.67,10721.75,10238.21,9627.82,8934.55,8330.66,7972.44,8983.74,8451.45,7425.47,7586.86,10093.29,10046.51,11846.8,11724.2,12380.8,12799.09,12258.07,13140.65,12547.26,11023.83,9778.62,9381.98,10030.27,10984.12,12010.8,12753.05,12192.93,11138.22,12753.32,12465.42,12158.38,12599.83,12963.63,11847.93,11382.82,12436.39
DE0007297004,SUEDZUCKER,DE,EUR,1545.03,1866.67,1515.55,1813.54,1928.0,2044.09,2071.5,1807.64,2259.2,2337.55,2345.85,2471.81,1868.97,1880.5,2205.57,2208.18,2439.46,2735.97,3119.65,3310.8,3518.03,3230.08,2860.28,3029.03,3328.67,3239.74,3182.8,2719.26,2715.87,2639.04,2762.02,2751.01,2804.7,2563.24,2705.36,2826.54,2481.52,2336.36,2201.42,2159.59,2331.24,2065.78,1978.14,1842.08,1803.82,2084.28,1915.03,1734.7,2179.32,1960.23,1718.99,2038.98,2067.89,2272.13,2134.58,2249.24,2093.12,1955.05,2047.8,2508.23,2257.44,2063.99,1918.34,1801.61,2049.3,2179.31,2295.21,2827.83,2675.63,1981.27,2203.0,1995.13,2011.13,2201.98,2339.61,2278.43,2314.08,2215.12,2117.09,2378.83,2254.29,2229.87,2011.15,2106.75,1930.68,1912.37,1841.41,1846.44,1868.89,2253.12,1995.05,1977.58,1750.03,1846.77,2050.29,2525.61,2330.2,2474.31,2406.42,2902.44,2470.6,2575.48,2642.11,2442.48,2252.0,2275.35,2302.77,2361.43,2132.48,2114.69,2154.36,2158.54,2278.17,2199.17,2131.9,2170.11,2070.79,1968.76,1870.9,1730.48
DE0007314007,HEIDELB.DRUCKMASCHINEN,DE,EUR,18.38,19.85,20.7,20.66,20.77,17.28,20.02,18.74,19.63,22.34,19.42,19.13,15.44,15.71,17.7,17.84,22.56,21.32,22.36,19.0,18.91,20.67,19.75,20.83,20.52,19.38,19.47,21.59,21.22,23.92,26.41,29.26,32.11,30.79,27.11,26.76,27.89,29.19,29.37,29.04,27.3,21.42,22.49,22.09,20.9,18.0,16.59,14.17,15.77,13.94,13.46,14.52,11.39,12.46,8.49,9.53,9.79,10.08,10.74,10.13,7.78,6.71,4.79,5.5,4.92,4.99,6.59,5.59,5.19,4.38,7.5,7.53,11.36,11.34,10.58,12.69,18.36,18.45,18.28,21.76,18.01,20.25,21.72,23.49,24.47,21.89,20.81,17.45,16.64,11.42,11.92,11.56,8.73,10.69,13.16,12.43,15.96,14.14,14.33,15.96,13.77,12.15,12.52,10.98,10.03,9.26,10.75,10.58,9.33,8.67,8.7,7.9,9.97,10.54,9.5,9.03,8.89,8.12,7.56,7.39
DE000TUAG505,TUI N,DE,EUR,2197.49,2297.74,2236.34,2360.36,2244.05,2054.1,2183.0,2259.95,2316.68,2364.51,2103.25,2313.45,2155.54,1967.42,2061.68,1916.84,2006.25,1506.73,1714.36,1840.22,1880.63,1683.13,1733.6,1857.89,1952.63,1960.51,1923.66,2015.62,2145.38,2012.1,2165.81,2321.58,2365.49,2509.37,2547.3,2865.36,3148.91,3065.45,3089.22,3237.93,3352.97,3157.5,3106.33,2666.87,2769.0,2388.83,2068.52,2025.91,2219.83,1654.61,1505.98,1720.88,1421.99,1521.07,1544.22,1540.98,1797.05,2025.92,2132.54,1972.56,1583.6,1266.55,721.85,687.92,887.54,760.2,629.44,713.35,608.99,637.2,1118.41,1036.53,1208.7,1567.67,1322.66,1541.96,1551.56,1309.79,1215.34,1128.43,1126.14,1018.88,811.58,933.06,1038.47,1005.96,984.33,881.29,742.36,491.84,493.22,468.65,368.67,467.24,539.25,491.1,640.96,596.85,446.02,369.99,367.49,405.19,465.17,348.49,319.72,293.11,353.48,448.79,399.42,408.88,475.69,412.11,397.93,406.06,373.86,379.0,437.36,475.43,455.1,499.33
ES0148396007,INDUSTRIA DE DISENO TEXTIL,ES,EUR,1241.72,1326.41,1351.19,1353.01,1402.46,1377.72,1460.82,1413.35,1416.93,1597.93,1535.08,1469.13,1393.81,1327.11,1437.77,1381.98,1454.56,1430.05,1489.03,1522.51,1595.99,1513.8,1484.72,1483.34,1431.03,1397.14,1532.38,1675.86,1788.78,1675.5,1730.96,1658.43,1647.55,1648.23,1563.23,1537.46,1585.49,1342.03,1378.69,1389.54,1406.56,1524.05,1464.18,1352.1,1352.86,1275.48,1385.08,1153.65,1261.66,1364.63,1328.38,1383.15,1226.47,1378.43,1377.21,1417.11,1416.89,1445.13,1444.08,1636.16,1559.83,1432.01,1203.16,1180.22,1291.41,1226.91,1234.18,1305.31,1293.45,1159.09,1564.46,1496.23,1397.18,1556.73,1550.91,1690.37,1836.79,1670.3,1607.23,1617.89,1748.3,1729.44,1500.15,1552.04,1433.97,1268.02,1052.8,1033.32,1168.78,1099.89,1177.13,1055.97,1015.93,1122.99,1267.88,1313.67,1539.54,1528.01,1662.88,1730.65,1678.26,1946.3,1930.8,1930.68,1879.62,1756.69,2107.49,2224.04,2202.47,2266.02,2573.64,2372.6,2448.87,2573.09,2513.81,2807.69,3071.31,2975.49,2888.03,2693.61
FR0000054470,UBISOFT ENTERTAINMENT CAT A,FR,EUR,875.74,798.75,801.59,798.97,781.95,772.4,847.88,811.55,876.96,1307.15,1214.14,1256.9,1189.72,1243.05,1364.45,1260.64,1600.97,1590.93,1781.62,1692.95,1638.05,1474.2,1511.07,1546.6,1426.2,1596.13,1857.99,2054.98,2416.2,2458.13,2732.82,2886.21,2982.8,3310.23,3332.79,3341.18,3725.86,3598.02,3655.74,4154.4,4690.33,4760.22,4793.83,4676.91,4707.09,3907.74,3533.8,3495.18,3857.92,3136.85,3865.72,4134.45,3546.54,3400.98,3611.01,3504.72,3137.61,2562.2,2635.56,2998.8,3299.98,3210.77,3197.79,3227.3,3361.56,3576.43,3630.97,3577.85,3920.15,3827.26,4140.1,4184.87,4342.79,3558.67,3308.04,3261.87,3180.31,3037.44,2754.31,2761.34,2608.47,2270.74,2212.55,2124.82,2467.59,2355.9,1928.33,1974.77,2265.45,1900.24,1836.16,2007.04,1203.6,1190.65,1187.29,1222.8,891.86,960.59,1152.88,1268.71,1227.04,1224.91,1463.6,1316.45,1412.77,1232.55,1236.8,1107.51,966.51,995.27,913.88,1028.35,1055.88,950.37,891.69,825.48,489.02,642.19,570.68,590.72
FR0000121220,SODEXO,FR,EUR,10562.07,10729.04,10356.14,10749.91,10935.78,10080.07,9957.97,9334.02,8773.08,9500.43,10494.79,10400.48,10361.56,11093.75,11767.5,11010.08,11470.18,11716.6,12767.54,12606.31,12983.55,12641.01,11932.36,12554.07,12056.14,12278.72,13158.3,14181.27,15240.05,14407.69,13134.44,13005.69,13918.03,14202.44,14603.24,15014.39,14367.81,14133.21,11544.55,11369.27,11107.5,11457.82,12697.57,11964.41,12159.3,11703.46,11867.06,11726.3,12328.67,12984.65,13013.26,13529.46,13552.08,13822.27,13625.48,13405.27,13258.19,12987.58,13773.05,14002.34,12756.98,11593.64,8229.92,9662.79,8194.5,8227.59,8385.98,8725.88,8707.01,7809.75,10095.99,10306.0,10859.63,11701.12,11695.78,12172.75,11782.98,11356.89,10374.94,10058.07,10687.17,11828.86,10141.17,10950.59,11492.39,10540.52,10260.82,9507.23,9295.02,8760.29,10096.36,9604.76,9445.89,11082.97,11798.67,12252.98,12682.74,11938.12,12554.21,13768.13,13822.53,14117.07,13203.79,13788.55,13246.74,13545.15,13774.75,14568.17,15041.3,14051.16,15123.04,15399.36,16390.78,15861.02,16690.48,16894.89,15584.93,16426.32,15739.85,16157.56
FR0000130395,REMY COINTREAU,FR,EUR,499.52,496.84,496.52,508.17,485.88,486.16,483.13,409.22,452.46,483.82,489.9,495.44,494.74,478.21,525.3,573.58,574.08,594.62,604.33,614.62,602.26,571.47,592.91,602.85,641.09,628.54,692.39,711.5,773.27,822.7,809.02,818.31,849.93,931.98,956.48,995.1,947.49,979.27,1021.84,989.14,1061.18,929.89,994.44,1021.84,948.23,864.85,842.86,823.05,847.47,948.71,971.45,968.77,997.38,1050.73,1084.8,1101.0,985.22,992.45,956.31,911.98,782.77,743.66,811.24,827.28,881.44,1009.99,1201.27,1232.82,1365.69,1262.53,1332.34,1392.99,1390.36,1433.63,1383.73,1495.57,1561.93,1543.38,1641.67,1471.9,1467.11,1527.03,1760.89,1839.17,1563.08,1465.93,1572.42,1510.8,1386.75,1317.02,1507.21,1430.01,1284.96,1176.47,1302.32,1290.93,1438.62,1354.32,1400.87,1328.99,1176.22,1230.46,1321.3,1190.72,964.63,892.27,939.1,1000.86,806.85,835.52,795.07,753.08,731.26,657.78,641.13,662.13,631.87,504.66,499.51,490.15
