ISIN,NAME,Country,Region,Years_With_Both_Scopes
AT0000652011,ERSTE GROUP BANK,AT,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B0N8QD54,BRITVIC DEAD - DELIST.20/01/25,GB,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
DK0060336014,NOVOZYMES B,DK,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B41H7391,ZIGUP,GB,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
GB00B135BJ46,SAVILLS,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B61TVQ02,INCHCAPE,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00BDFBVT43,OXFORD BIOMEDICA,GB,EUR,"[2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0002374006,DIAGEO,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
SE0015988019,NIBE INDUSTRIER,SE,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007689002,KIN AND CARTA DEAD - DELIST.29/04/24,GB,EUR,"[2019, 2020, 2021, 2022, 2023]"
IE00BGH1M568,PERRIGO,IE,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
DE000TUAG505,TUI N,DE,EUR,"[2014, 2015, 2017, 2018, 2022, 2023, 2024, 2025]"
GB00B0YG1K06,RESTAURANT GROUP DEAD - DELIST.22/12/23,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
GB00BNNTLN49,PENNON GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
ES0113900J37,BANCO SANTANDER,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0007973794,SERCO GROUP,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
SE0000202624,GETINGE B,SE,EUR,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB0004052071,HALMA,GB,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
FI0009005987,UPM-KYMMENE,FI,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
ES0116870314,NATURGY ENERGY GROUP,ES,EUR,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
DK0060079531,DSV,DK,EUR,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]"
GB00B6XZKY75,BARR (AG),GB,EUR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]"
