ISIN,NAME,Country,Region,2005-01-31 00:00:00,2005-02-28 00:00:00,2005-03-31 00:00:00,2005-04-29 00:00:00,2005-05-31 00:00:00,2005-06-30 00:00:00,2005-07-29 00:00:00,2005-08-31 00:00:00,2005-09-30 00:00:00,2005-10-31 00:00:00,2005-11-30 00:00:00,2005-12-30 00:00:00,2006-01-31 00:00:00,2006-02-28 00:00:00,2006-03-31 00:00:00,2006-04-28 00:00:00,2006-05-31 00:00:00,2006-06-30 00:00:00,2006-07-31 00:00:00,2006-08-31 00:00:00,2006-09-29 00:00:00,2006-10-31 00:00:00,2006-11-30 00:00:00,2006-12-29 00:00:00,2007-01-31 00:00:00,2007-02-28 00:00:00,2007-03-30 00:00:00,2007-04-30 00:00:00,2007-05-31 00:00:00,2007-06-29 00:00:00,2007-07-31 00:00:00,2007-08-31 00:00:00,2007-09-28 00:00:00,2007-10-31 00:00:00,2007-11-30 00:00:00,2007-12-31 00:00:00,2008-01-31 00:00:00,2008-02-29 00:00:00,2008-03-31 00:00:00,2008-04-30 00:00:00,2008-05-30 00:00:00,2008-06-30 00:00:00,2008-07-31 00:00:00,2008-08-29 00:00:00,2008-09-30 00:00:00,2008-10-31 00:00:00,2008-11-28 00:00:00,2008-12-31 00:00:00,2009-01-30 00:00:00,2009-02-27 00:00:00,2009-03-31 00:00:00,2009-04-30 00:00:00,2009-05-29 00:00:00,2009-06-30 00:00:00,2009-07-31 00:00:00,2009-08-31 00:00:00,2009-09-30 00:00:00,2009-10-30 00:00:00,2009-11-30 00:00:00,2009-12-31 00:00:00,2010-01-29 00:00:00,2010-02-26 00:00:00,2010-03-31 00:00:00,2010-04-30 00:00:00,2010-05-31 00:00:00,2010-06-30 00:00:00,2010-07-30 00:00:00,2010-08-31 00:00:00,2010-09-30 00:00:00,2010-10-29 00:00:00,2010-11-30 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-04-29 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-07-29 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-12-30 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-03-30 00:00:00,2012-04-30 00:00:00,2012-05-31 00:00:00,2012-06-29 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-09-28 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-03-29 00:00:00,2013-04-30 00:00:00,2013-05-31 00:00:00,2013-06-28 00:00:00,2013-07-31 00:00:00,2013-08-30 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-11-29 00:00:00,2013-12-31 00:00:00,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-30 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-29 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-28 00:00:00,2014-12-31 00:00:00
AT000000STR1,STRABAG SE,AT,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.12,142.66,142.74,116.61,123.51,128.32,140.4,158.57,158.03,136.58,125.84,88.23,39.21,34.71,45.63,37.65,26.48,39.79,47.36,45.32,46.42,50.92,66.98,67.95,65.11,65.84,62.44,57.6,51.79,53.54,55.49,49.54,46.99,49.61,45.4,51.33,55.69,50.23,59.41,62.79,63.58,68.76,72.65,66.74,65.91,64.05,77.61,68.42,68.92,66.26,63.67,65.16,67.06,67.48,59.25,48.45,52.62,51.82,51.6,55.54,57.51,60.41,61.69,62.14,56.45,51.43,52.8,49.27,47.94,51.91,49.68,57.9,61.08,68.17,68.14,69.13,63.24,60.1,64.8,68.66,72.96,63.25,64.92,55.76,51.2,54.54,52.02
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR,396.8,429.25,370.95,372.36,368.24,371.72,369.12,380.86,386.76,370.51,363.9,408.74,451.72,462.1,448.05,450.65,437.01,451.87,451.57,479.39,489.55,530.57,543.32,580.53,588.22,547.79,577.47,645.36,593.63,600.92,642.31,609.7,626.89,720.14,688.62,702.81,675.06,697.06,735.97,769.28,721.04,599.3,534.54,511.8,391.98,254.62,245.32,277.04,252.17,172.2,183.43,211.36,270.31,283.46,269.67,296.03,362.86,352.34,353.16,349.14,327.64,320.47,348.4,393.01,368.14,388.22,424.44,430.23,426.45,455.85,452.69,505.73,484.26,494.67,467.3,463.96,449.85,393.59,381.83,379.23,331.95,350.67,297.77,293.67,284.75,288.71,300.79,354.04,311.87,315.38,311.01,364.15,369.63,360.86,393.68,451.48,491.68,477.93,475.05,494.29,491.87,464.93,516.91,520.02,551.77,630.0,653.45,684.58,655.11,739.57,807.04,798.25,781.54,772.79,779.05,745.81,693.2,761.72,804.06,771.62
AT0000606306,RAIFFEISEN BANK INTL.,AT,EUR,,,,124.76,144.69,154.46,136.52,140.55,161.81,151.93,150.09,158.31,174.68,201.64,205.84,210.26,200.68,211.39,208.92,219.41,259.08,278.59,286.58,370.85,370.57,327.09,341.54,341.7,380.7,389.51,376.21,354.08,357.19,404.49,399.76,371.13,306.74,317.67,335.26,397.14,366.88,316.59,309.78,273.32,173.75,76.91,68.01,66.42,50.76,47.13,69.71,86.9,104.1,89.05,113.87,135.65,167.08,151.84,152.11,145.37,128.28,115.52,122.18,126.19,110.48,98.94,117.29,105.8,120.52,145.3,127.26,141.97,151.99,155.09,143.44,142.55,140.98,137.18,133.67,111.02,79.15,75.39,62.73,69.36,90.63,96.83,93.96,88.41,73.04,90.79,91.89,93.1,100.75,111.07,114.43,115.23,124.66,105.21,94.6,98.15,95.06,80.9,89.05,100.48,96.12,108.03,108.36,103.64,117.81,106.9,102.24,96.7,102.77,101.85,87.91,81.96,69.41,68.04,66.19,48.4
AT0000652011,ERSTE GROUP BANK,AT,EUR,512.38,567.13,543.83,501.95,518.89,526.55,536.35,581.21,564.06,546.52,560.28,583.49,590.76,644.49,624.18,642.2,613.1,603.8,618.48,648.41,667.5,730.76,782.53,822.2,832.39,796.16,832.87,864.46,841.91,846.95,823.83,786.7,824.73,879.02,790.67,769.31,581.5,634.11,705.71,805.74,840.7,686.8,709.57,665.19,533.47,289.95,249.02,248.28,167.28,107.4,186.63,248.17,292.68,327.89,422.1,515.68,542.68,493.25,494.22,454.52,466.01,459.07,511.58,546.32,447.54,400.75,498.02,451.88,497.74,559.55,486.96,585.2,622.91,655.84,627.23,628.37,631.3,664.29,608.14,462.61,329.22,275.79,218.82,223.52,278.58,319.35,291.82,291.82,219.02,240.38,229.92,256.57,283.16,318.22,372.81,401.48,426.41,408.87,353.66,397.69,418.03,343.04,392.19,413.76,409.1,456.86,456.4,451.57,471.14,459.4,442.2,433.93,453.67,421.79,336.05,335.54,298.8,331.91,354.15,303.59
AT0000720008,TELEKOM AUSTRIA,AT,EUR,232.1,246.17,242.63,237.68,234.96,244.36,254.32,263.99,250.62,260.11,284.62,281.5,303.82,286.92,295.65,307.73,289.79,288.51,292.56,317.18,326.69,322.55,343.56,346.91,352.29,323.55,322.78,368.25,354.7,335.8,330.97,346.64,350.74,385.0,394.54,373.92,373.5,305.43,278.76,331.66,335.56,305.8,290.98,305.06,245.13,171.47,186.6,201.68,198.55,185.16,213.2,186.83,233.2,236.18,229.52,264.41,272.2,248.66,262.78,215.78,209.67,198.65,211.69,200.57,192.71,182.19,209.56,208.8,245.39,248.93,226.77,229.78,224.56,232.76,238.44,252.17,227.97,224.78,215.98,196.09,179.15,202.25,204.21,211.29,205.5,205.92,204.87,193.23,170.74,182.5,168.91,148.25,131.15,116.73,120.53,140.27,137.19,122.61,121.83,127.21,127.03,118.31,129.83,134.23,157.01,154.35,159.45,141.93,163.71,182.35,186.11,185.52,182.14,184.22,180.3,176.74,169.85,141.2,139.98,136.72
AT0000743059,OMV,AT,EUR,1498.77,1671.03,1532.94,1484.93,1722.83,2133.57,2283.42,2658.21,2916.36,2638.68,2705.32,2858.51,3456.83,3038.06,3270.41,3398.46,2911.45,2971.34,3059.04,2659.49,2583.79,2713.56,2679.8,2829.82,2664.05,2782.09,3133.16,3188.47,3385.9,3409.44,3227.34,3167.39,3397.21,3808.73,3634.94,4132.94,3625.06,3709.12,3383.35,3847.73,4290.16,4098.05,3613.98,3361.07,2149.13,1653.13,1304.08,1357.55,1496.8,1381.45,1745.46,1640.41,2199.79,2030.78,2141.96,2139.21,2186.13,2249.86,2294.96,2389.33,2156.4,2013.71,2039.16,1952.46,1793.27,1707.31,1885.15,1820.24,2112.01,2102.1,1898.66,2350.5,2502.59,2396.71,2549.56,2573.45,2434.57,2562.31,2344.47,2322.87,1772.58,2068.27,1942.8,1785.15,1924.98,2191.93,2082.0,1985.95,1676.79,1934.99,1939.17,2046.41,2156.85,2249.48,2200.14,2220.12,2536.78,2683.07,2622.29,2895.16,2942.66,2864.55,2805.29,2925.17,3137.96,3034.53,3117.34,3044.74,2749.24,2892.06,2882.88,2968.97,2746.01,2991.8,2663.52,2564.47,2228.83,2081.27,1920.2,1763.66
AT0000746409,VERBUND,AT,EUR,1114.75,1219.99,1184.88,1302.84,1350.96,1438.0,1555.03,1765.26,1834.15,1659.9,1635.77,1851.66,2328.11,2422.52,2346.26,2507.04,2424.92,2539.83,2552.96,2658.85,2552.93,2636.97,2646.82,2815.61,2546.7,2219.78,2413.09,2794.73,2906.61,2763.42,2661.88,2682.53,3105.03,3564.33,3662.87,3781.1,3526.82,4022.03,3859.22,4264.39,4646.59,4938.24,4392.12,4180.18,3337.43,2583.58,2424.65,2492.38,2114.84,1712.77,2090.29,2369.56,3072.06,2907.26,2769.41,2901.48,2885.29,2578.56,2573.11,2435.25,2396.54,2331.32,2272.07,2226.86,1899.39,1836.55,2114.35,2124.95,2140.01,2378.83,1880.67,2229.24,2385.71,2282.04,2651.63,2747.82,2722.56,2639.12,2482.35,2341.31,1764.53,1780.29,1616.48,1633.25,1649.79,1707.79,1843.07,1743.88,1440.33,1428.84,1195.13,1264.83,1290.6,1449.74,1424.7,1541.15,1327.44,1296.82,1352.96,1416.86,1351.41,1225.94,1272.54,1242.37,1463.99,1519.97,1407.39,1382.09,1363.43,1370.52,1330.2,1339.8,1344.93,1339.01,1299.88,1357.97,1392.67,1396.93,1375.72,1279.7
BE0003470755,SOLVAY,BE,EUR,6850.64,7450.15,7635.02,7267.07,6950.61,6663.19,7004.03,7024.01,7557.53,7535.23,7157.6,7115.21,7367.68,7226.2,7528.51,7622.26,7502.17,7612.87,7846.81,8010.73,8552.13,8566.13,9431.27,10141.73,10112.73,9464.52,10203.7,10593.34,10757.75,10630.96,10312.1,10002.12,9752.34,10227.12,10017.63,9427.46,8465.75,8603.67,8718.29,10007.8,9897.0,9047.52,8307.56,8516.89,8377.53,6372.19,4925.6,5096.71,4987.84,4027.06,4920.69,6072.89,6561.93,6052.67,6997.24,7564.34,7442.75,7078.44,7571.96,7778.84,7240.1,6963.25,7482.08,6954.85,6480.11,6358.17,7237.24,6723.36,7902.19,7823.21,7168.82,7914.06,7839.34,8786.7,8877.85,10813.39,11328.18,11715.26,11431.75,9325.98,7224.19,7835.23,7111.64,6267.26,7583.68,9493.95,9083.58,9350.11,8174.66,7700.82,8126.43,8772.63,9039.44,9378.01,10573.47,11248.02,12364.17,11255.28,10671.24,11541.96,11518.18,10432.81,10774.13,11077.39,11960.11,12494.0,12165.49,12631.02,11250.59,12489.44,12634.9,13017.94,13179.0,14008.67,13163.05,12840.11,12534.57,11086.32,11213.52,11071.48
BE0003565737,KBC GROUP,BE,EUR,6623.96,7233.91,7250.03,6781.46,7137.35,6934.0,7004.96,7249.1,7127.56,7143.95,7626.79,8137.45,8802.92,9160.83,9404.86,10159.17,9654.47,9606.05,9746.8,9633.5,9419.97,9782.64,10082.33,10968.76,11256.91,10877.03,11098.09,12214.64,12670.51,12403.58,12077.82,11518.36,12598.85,12845.99,12803.45,12914.06,11554.1,11616.72,11950.83,12457.26,11698.04,10547.06,9708.97,9093.13,7962.96,4031.96,2842.38,2830.14,1742.36,1012.49,1536.19,2127.45,1948.01,1730.7,2013.18,3558.43,4762.28,4106.04,4223.55,4136.38,4165.55,4301.92,4605.05,4329.92,3713.65,3701.31,4191.82,3952.15,4263.78,4123.32,3339.02,3246.97,3806.99,3972.33,3574.11,3875.18,4092.94,3805.92,3435.37,2747.54,2274.37,2192.9,1082.32,1223.66,1838.07,2297.47,2426.38,1873.22,1484.86,2049.78,2033.92,2111.63,2328.02,2274.58,2920.21,3341.65,3819.9,3599.86,3344.16,3807.8,3951.82,3694.07,3977.52,4359.85,4884.01,5423.11,5681.51,5647.49,5875.74,6309.46,6114.01,6048.98,5920.34,5406.89,5406.7,5676.51,5291.83,5321.6,5697.52,5589.77
BE0003593044,COFINIMMO,BE,EUR,281.45,292.7,287.05,300.04,296.97,292.29,289.87,297.85,294.68,292.08,289.71,293.81,300.64,295.19,310.0,313.98,329.26,337.02,340.33,340.38,369.19,369.5,389.67,391.25,387.83,387.65,404.58,399.82,398.54,387.6,365.56,349.87,358.98,381.88,390.23,382.89,394.81,418.18,441.49,436.07,399.64,389.5,405.03,389.76,369.79,264.63,271.74,281.24,260.05,232.43,228.06,254.42,281.91,268.72,285.38,306.07,322.29,333.62,329.21,326.57,312.43,313.61,325.93,317.5,284.31,276.22,309.54,292.6,324.34,347.61,301.89,318.85,331.55,340.21,357.51,376.1,364.46,367.62,358.06,347.88,305.66,317.7,307.35,304.05,302.22,312.21,316.64,311.48,285.43,305.23,297.11,301.51,303.98,310.83,309.35,322.95,330.3,324.16,313.66,329.6,330.12,314.85,329.26,319.17,337.96,348.71,356.26,356.59,335.67,346.62,343.7,353.17,362.93,377.79,375.93,375.11,343.56,351.93,354.45,352.11
