ISIN,NAME,Country,Region,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-30 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-29 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-28 00:00:00,2014-12-31 00:00:00,2015-01-30 00:00:00,2015-02-27 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-29 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-30 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-29 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-29 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-29 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-30 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-28 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-29 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-29 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-30 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-29 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-28 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00,2019-01-31 00:00:00,2019-02-28 00:00:00,2019-03-29 00:00:00,2019-04-30 00:00:00,2019-05-31 00:00:00,2019-06-28 00:00:00,2019-07-31 00:00:00,2019-08-30 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2019-11-29 00:00:00,2019-12-31 00:00:00,2020-01-31 00:00:00,2020-02-28 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-29 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-30 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-29 00:00:00,2021-02-26 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-30 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-29 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-29 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-29 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-30 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-29 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-12-29 00:00:00
AT000000STR1,STRABAG SE,AT,EUR,69.13,63.24,60.1,64.8,68.66,72.96,63.25,64.92,55.76,51.2,54.54,52.02,52.41,56.78,52.95,55.24,56.46,54.08,59.19,60.08,54.5,55.94,61.1,62.09,58.97,62.24,73.41,76.23,76.76,74.7,77.6,80.13,82.84,83.14,83.57,88.06,90.9,92.54,97.11,101.47,103.45,109.83,112.4,109.26,110.62,106.31,98.74,103.93,110.26,101.28,100.72,104.63,106.58,103.28,106.29,104.0,104.28,92.9,93.74,77.43,92.72,90.06,84.5,88.48,86.81,91.72,89.17,90.02,88.37,91.5,95.29,95.77,91.5,82.53,62.66,77.02,82.35,70.94,81.2,84.92,84.72,79.83,90.39,98.89,98.01,103.79,100.66,112.85,126.42,144.81,153.21,153.51,154.44,145.02,132.31,140.78,144.08,137.15,136.23,132.55,148.89,143.19,146.66,136.77,134.47,136.54,146.46,148.39,149.84,141.22,152.41,155.27,144.82,152.1,157.63,159.84,148.19,147.75,154.97,171.17
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR,655.11,739.57,807.04,798.25,781.54,772.79,779.05,745.81,693.2,761.72,804.06,771.62,719.25,714.5,721.65,744.15,760.19,734.57,734.78,774.63,763.25,802.17,791.85,806.23,743.08,739.03,926.83,968.74,936.07,935.33,1018.6,958.82,854.63,836.69,812.43,853.19,976.92,975.06,1094.17,1253.71,1313.47,1335.04,1378.19,1381.58,1373.39,1417.74,1406.19,1422.45,1556.91,1485.63,1443.89,1431.26,1377.42,1337.88,1355.47,1370.8,1464.38,1396.0,1395.08,1416.63,1492.09,1433.65,1556.86,1578.02,1521.65,1651.28,1636.93,1507.75,1536.74,1508.99,1523.77,1557.53,1484.71,1221.27,947.74,1072.87,1144.79,1044.44,1121.35,1142.9,956.84,866.96,1191.51,1369.41,1256.98,1391.98,1263.56,1345.08,1370.62,1274.96,1220.4,1219.23,1275.83,1212.26,1121.19,1111.83,1161.94,1155.92,1073.5,1044.97,1035.49,1258.39,1229.26,1215.93,1190.06,1198.76,1248.9,1269.03,1359.17,1335.0,1577.38,1631.23,1769.25,1955.83,1916.72,1886.79,1890.0,1979.78,2064.02,2102.17
AT0000606306,RAIFFEISEN BANK INTL.,AT,EUR,117.81,106.9,102.24,96.7,102.77,101.85,87.91,81.96,69.41,68.04,66.19,48.4,37.44,48.32,44.62,53.6,48.98,46.39,46.89,43.15,41.71,50.69,49.91,47.16,40.05,42.54,48.42,51.0,42.71,39.97,42.1,45.27,48.6,52.22,58.17,58.49,70.86,71.07,72.19,72.72,84.14,80.43,93.75,104.55,106.96,111.18,113.19,115.71,137.66,124.5,123.96,107.94,100.9,100.29,109.06,93.13,94.11,89.21,96.33,82.91,86.53,83.41,73.41,87.03,75.8,80.24,80.7,74.79,79.28,84.02,80.25,85.84,77.97,70.06,50.12,58.85,62.84,60.84,58.76,61.27,52.35,49.09,65.62,69.71,67.1,69.73,75.19,76.77,83.46,79.42,82.99,84.19,92.16,102.66,106.24,105.94,99.99,59.31,51.87,41.7,47.7,38.91,43.2,45.75,43.06,50.06,55.71,58.97,64.35,60.31,55.38,55.28,52.58,57.02,58.42,51.76,52.63,52.01,63.26,78.15
AT0000652011,ERSTE GROUP BANK,AT,EUR,471.14,459.4,442.2,433.93,453.67,421.79,336.05,335.54,298.8,331.91,354.15,303.59,282.95,342.63,321.27,370.96,377.75,370.22,393.27,388.1,377.66,384.29,400.03,409.64,377.25,336.25,367.13,375.29,356.84,300.73,353.3,373.83,394.89,417.99,370.99,391.16,405.32,388.9,435.12,476.34,498.45,524.75,568.17,579.13,592.91,589.77,599.72,594.97,692.93,701.5,688.62,673.19,591.21,592.49,613.87,565.97,589.89,579.0,560.13,471.37,495.15,537.44,522.14,567.91,523.77,550.26,534.68,477.17,489.66,523.04,530.47,557.68,544.01,504.56,274.26,321.45,325.47,348.33,330.85,360.81,310.29,303.14,426.76,451.74,454.11,490.37,503.17,527.49,617.37,551.09,582.58,600.34,662.51,644.84,668.96,724.56,712.18,553.64,567.3,482.13,504.75,410.92,409.07,367.15,360.26,400.68,495.04,518.33,612.98,640.42,538.24,590.14,557.24,604.53,654.51,617.86,599.97,615.96,699.13,700.6
AT0000720008,TELEKOM AUSTRIA,AT,EUR,163.71,182.35,186.11,185.52,182.14,184.22,180.3,176.74,169.85,141.2,139.98,136.72,133.98,144.32,146.65,151.96,145.08,136.46,140.51,128.1,116.19,124.95,112.33,113.04,113.68,117.25,127.13,129.56,127.8,120.75,122.57,118.73,117.58,119.46,115.63,123.2,128.44,134.3,142.25,146.18,170.76,168.09,192.77,205.87,194.36,200.93,206.91,198.8,207.88,192.03,203.9,204.46,189.54,183.61,191.74,190.65,170.63,163.71,161.85,167.18,168.82,163.77,160.25,164.88,167.15,171.75,169.44,174.34,165.17,175.86,182.57,185.61,182.49,170.9,158.25,159.72,163.72,156.89,171.36,167.87,166.73,158.75,173.47,182.63,179.61,180.03,186.23,193.02,214.24,208.67,208.37,216.95,211.3,211.55,204.67,211.78,210.95,200.11,190.34,175.31,170.95,162.23,157.74,159.92,148.05,148.6,154.55,157.74,171.34,191.44,193.08,199.86,185.92,198.2,204.43,201.24,217.83,217.47,247.28,263.45
AT0000730007,ANDRITZ,AT,EUR,2909.63,3329.93,3311.41,3322.49,3193.69,3095.08,2902.76,2873.08,2856.74,2585.18,2902.12,2961.47,2901.19,3097.18,3260.61,3189.56,3365.18,3016.37,3065.17,2610.1,2449.16,2758.82,2860.05,2668.52,2522.24,2614.92,2998.41,3143.0,2858.93,2647.05,2860.84,2858.25,3054.93,2930.45,2897.16,2822.34,3029.43,2939.6,2900.35,3197.76,3473.81,3479.23,3530.4,3143.26,3344.06,3270.67,3245.23,3270.19,3481.79,3365.06,3339.22,3219.81,2980.97,3174.33,3395.3,3548.69,3490.43,3100.81,2879.36,2742.8,2959.11,2989.61,2671.98,2963.94,2233.0,2345.73,2242.1,2195.7,2544.14,2796.43,2428.91,2682.42,2452.35,2181.86,1951.46,2044.79,2335.55,2264.57,2128.86,2119.82,1953.96,2129.4,2672.27,2898.89,3010.39,3047.72,2924.44,3531.3,3742.08,3646.6,3577.1,3727.98,3556.27,3678.67,3068.17,3349.22,3422.33,2915.76,3031.36,2914.08,3130.31,2723.37,3146.89,3133.31,2897.37,3152.03,3625.08,3873.26,4033.28,4200.72,4741.82,4551.5,3745.6,3901.79,3712.05,3731.64,3546.7,3213.62,3803.37,4364.7
AT0000743059,OMV,AT,EUR,2749.24,2892.06,2882.88,2968.97,2746.01,2991.8,2663.52,2564.47,2228.83,2081.27,1920.2,1763.66,1649.47,1912.23,1817.77,2207.64,1967.7,1909.11,1858.19,1776.81,1683.99,1856.07,1980.83,1970.76,1777.02,1824.11,1956.16,2084.28,2012.63,2021.72,1917.99,2019.1,2077.89,2252.77,2334.7,2554.7,2524.37,2765.42,2847.1,3322.46,3863.44,3836.71,4174.27,4250.62,4314.24,4448.8,4613.54,4696.74,4783.36,4253.25,4305.07,4606.88,4381.45,4326.27,4316.86,4050.15,4287.68,4246.77,3854.39,3335.71,3799.23,4019.51,4143.42,4082.46,3720.25,3870.45,4001.3,4053.71,4257.84,4629.6,4524.75,4458.82,3954.55,3297.55,2189.62,2597.53,2622.13,2651.15,2506.08,2585.82,2176.39,1961.2,2903.54,3450.98,3607.15,4135.23,4345.49,4219.37,4892.51,5040.86,4783.1,4909.0,5358.74,5373.35,4684.82,5033.33,5360.04,4217.89,4277.87,4589.77,5163.58,4341.76,3918.78,3758.17,3396.99,4277.1,4792.28,4763.37,4620.29,4537.19,4260.3,4388.46,4123.18,4439.2,4735.56,4862.86,5026.46,4579.76,4474.83,4602.44
AT0000746409,VERBUND,AT,EUR,1363.43,1370.52,1330.2,1339.8,1344.93,1339.01,1299.88,1357.97,1392.67,1396.93,1375.72,1279.7,1209.31,1309.9,1156.93,1196.72,1127.22,1023.81,1097.36,995.28,933.66,1001.87,975.3,907.9,850.54,768.37,901.79,1014.26,991.43,1024.87,1136.32,1119.57,1211.25,1209.77,1061.77,1161.74,1168.76,1209.33,1235.44,1227.36,1380.02,1406.89,1457.38,1586.02,1742.67,1796.46,1752.81,1787.8,2053.25,1965.14,2145.12,2336.01,2439.31,2429.31,2963.64,3055.27,3700.79,3029.84,3072.07,3197.6,3845.85,3619.73,3608.11,3722.41,3785.92,3972.55,4272.26,4522.1,4150.26,4103.16,3944.82,3808.49,4010.35,3571.75,2747.48,3435.35,3377.53,3454.09,4063.54,4152.21,4223.26,4437.68,5431.32,6593.93,6973.6,5918.74,5622.04,6410.97,7150.01,7180.28,7198.31,8537.33,7925.44,8130.25,8118.56,8769.64,8199.06,9458.51,8285.25,8406.71,7820.72,7690.07,8637.53,7555.23,6751.05,6172.06,6981.93,6614.67,6679.48,6860.81,6849.22,7038.03,6208.59,6614.63,6857.39,6772.71,6733.38,7154.25,7880.28,7664.06
AT0000831706,WIENERBERGER,AT,EUR,2876.24,3430.93,3477.47,3368.84,3292.03,3073.45,2758.61,2747.03,2361.21,2215.71,2524.47,2537.95,2589.96,2877.71,2926.59,2976.66,2952.73,2909.86,3074.68,3292.58,3250.0,3429.22,3249.05,3437.56,2829.91,3272.38,3561.68,3659.47,3374.3,2624.73,2893.61,2975.81,3184.96,2993.74,3322.78,3262.29,3619.18,3705.96,3986.77,4390.02,4483.78,4310.51,4355.05,4095.61,4647.63,4883.07,4322.84,4602.01,5198.27,5131.01,4748.46,4798.13,5061.57,4834.49,4754.27,5308.77,4845.18,4458.96,4341.99,3984.99,4355.71,4388.58,4116.52,4440.7,4273.73,4905.43,4574.92,4573.09,4834.61,5368.04,5449.73,5887.01,5635.95,5032.31,3134.19,3706.98,3974.52,4323.0,4570.16,5369.96,5246.65,5147.88,5672.32,6511.05,6950.68,6855.57,7482.07,8012.29,8008.48,8004.35,8486.53,8149.14,7013.84,7359.14,7597.37,7637.8,7445.31,6246.72,6331.35,5915.37,5895.8,4581.59,4896.37,5022.24,4318.66,4894.01,5548.18,5152.51,6391.06,6690.05,6193.78,6449.64,6229.2,6760.31,7265.38,6101.44,5624.31,5358.19,6312.16,7377.18
AT0000908504,VIENNA INSURANCE GROUP A,AT,EUR,688.43,743.14,715.38,772.69,784.85,802.02,745.55,728.11,676.86,720.27,747.4,672.41,636.07,664.3,663.1,596.84,568.67,534.93,541.05,510.79,458.86,501.86,436.7,428.61,384.45,362.93,330.67,352.2,356.52,304.1,319.69,316.15,326.87,317.09,327.94,361.64,391.68,388.19,390.46,417.28,456.95,468.21,499.38,490.13,491.5,487.33,490.57,514.29,591.04,554.73,555.67,541.88,494.15,469.73,490.49,470.49,491.67,458.57,443.06,399.26,418.56,415.76,442.84,478.66,439.42,462.38,465.09,444.15,469.15,488.11,498.29,513.37,486.87,435.1,338.62,362.47,378.54,402.43,400.27,441.43,424.42,386.93,455.76,485.31,488.82,515.02,495.31,511.91,557.07,540.34,542.64,570.39,567.99,575.12,542.77,557.31,572.55,517.28,513.52,491.04,498.32,473.3,474.34,493.88,425.22,464.9,476.86,495.39,562.73,582.53,558.45,611.03,566.35,571.22,585.69,587.22,611.01,585.75,626.11,639.96
